Asset,Work Order,Description Line 1,Description Line 2
"291  -021-10 Plex, Built 2015","WO- 1,590",No heat.," Checked both boilers, out of fuel.  Called qillaq for fuel and waited till they delivered.  Bleed all fuel lines and both pumps, restart both boilers and check for heat."
"292  -292-10 Plex, Built 2015",WO- 516,No heat and hot water., Checked and restarted boiler 1 and checked for heat and hot water 1hr later.
"296  -296-10 Plex, Built 2015",WO- 857,No heat.," Zone valve wasn't working, replaced zone valve."
"296  -296-10 Plex, Built 2015",WO- 891,"Hardly any heat, also something leaking from pipe in laundry room.", Check and presserize boiler and check for heat.  Tighten up hose for laundry.
"299  -299-10 Plex, Built 2015",WO- 568,No hot water., Reset burner.
"299  -299-10 Plex, Built 2015","WO- 2,379",No heat.," Boilers were off due to no fuel, called fuel truck and bled boilers."
"299  -299-10 Plex, Built 2015","WO- 2,380",No heat.," Ran out of fuel, called Qillaq for fuel, waited for them then bled the boilers."
"299  -299-10 Plex, Built 2015","WO- 2,857",No heat.," Out of fuel, called Qillaq, bled pump after delivery."
305-B  -2B AMAULIGAK STREET,"WO- 2,371",Glycol leak in porch.,  close for new year
"007  -007 - 451, Detached, Built 1967","WO- 1,711","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drained the same  Re-installed the drip leg on the fuel tank
"007  -007 - 451, Detached, Built 1967","WO- 2,752",No heat.," Picked up Larry, changed furnace coupling."
"020  -020 - 451, Detached, Built 1967, Rehab 1983",WO- 390,Fuel smell from kitchen., Looked all over house for fuel smell and couldn't find any.  Checked under kitchen cabinets that tenant said was from from.  Can get a smell for few seconds and goes away.  There was a barrel with a bit of diesel fuel outside kitchen window that we think might be coming from.
"020  -020 - 451, Detached, Built 1967, Rehab 1983",WO- 458,Fuel smell.," Checked all around interior of unit, couldn't find any smell of fuel anywhere.  Noticed a barrel outside unit and was 1/4 full with fuel.  Notified tenant that the smell was coming from there.  Will need to move monday."
"020  -020 - 451, Detached, Built 1967, Rehab 1983","WO- 1,739","Drain drip leg, replace parts if necessary"," Removed and drained the drip leg from the fuel tank, reinstalled the drip leg back onto the fuel tank."
"021  -021 - 451, Detached, Built 1967, Rehab 1982","WO- 1,486",Oil tank M&I Profec t# 6522-410-003,
"021  -021 - 451, Detached, Built 1967, Rehab 1982","WO- 1,740","Drain drip leg, replace parts if necessary","  Removed and drained the drip leg from the fuel tank, reinstalled the drip leg back onto the fuel tank."
"022  -022 - 451, Detached, Built 1967, Rehab 1983",WO- 908,No heat in unit., Released air lock.
"022  -022 - 451, Detached, Built 1967, Rehab 1983","WO- 1,007",No heat in unit., Loosen sticky motor on zone and tested.
"022  -022 - 451, Detached, Built 1967, Rehab 1983","WO- 1,743","Drain drip leg, replace parts if necessary"," Removed the drip leg from the fuel supply tank, drained the drip leg and reinstalled it on the fuel supply tank."
"023  -023 - 451, Detached, Built 1967, Rehab 1982","WO- 1,741","Drain drip leg, replace parts if necessary","  Removed and drained the drip leg from the fuel tank, reinstalled the drip leg back onto the fuel tank."
"024  -024 - 451, Detached, Built 1967, Rehab 1982","WO- 1,742","Drain drip leg, replace parts if necessary","  Removed and drained the drip leg from the fuel tank, reinstalled the drip leg back onto the fuel tank."
"024  -024 - 451, Detached, Built 1967, Rehab 1982","WO- 2,430",Change furnace filter., Replaced plugged filter.
"025  -025 - 451, Detached, Built 1967, Rehab 1983","WO- 1,745","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel supply tank, drained the drip leg and reinstalled it on the fuel supply tank."
"026  -026 - 451, Detached, Built 1967, Rehab 1982","WO- 1,744","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel supply tank, drained the drip leg and reinstalled it on the fuel supply tank."
"027  -027 - 451, Detached, Built 1967, Rehab 1983","WO- 1,487",Oil tank M&I Profec t# 6522-410-003,
"027  -027 - 451, Detached, Built 1967, Rehab 1983","WO- 1,747","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel tank, drained the drip leg and reinstalled it on the fuel tank."
"028  -028 - 451, Detached, Built 1967, Rehab 1983","WO- 1,140",Furnace is on low and won't shut off.,
"028  -028 - 451, Detached, Built 1967, Rehab 1983","WO- 1,372",Furnace room smells of furnace fumes.,
"028  -028 - 451, Detached, Built 1967, Rehab 1983","WO- 1,748","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel supply tank, drained the drip leg and reinstalled it on the fuel supply tank."
"028  -028 - 451, Detached, Built 1967, Rehab 1983","WO- 1,787",Problem with heating., Re-wired the zone to the hot water maker
"028  -028 - 451, Detached, Built 1967, Rehab 1983","WO- 1,840","Thermostat not working, hot unit", 10/29- Replaced zone valve & thermostat and tested.  10/30- No heat call found loose wire and repaired.  10/31- No heat call loosen sticky motor on zone & tested
"028  -028 - 451, Detached, Built 1967, Rehab 1983","WO- 1,968",No heat.," Check mech. room, boiler was low on pressure so i added glycol to system. Boiler was working good but still couldn't go through. Noticed a loose wire for thermostat and zone valve so put back on and tested.  No issues after"
"028  -028 - 451, Detached, Built 1967, Rehab 1983","WO- 2,522",No heat in unit., Zone valve needed to be replaced.
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO- 1,746","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel tank, drained the drip leg and reinstalled it on the fuel tank."
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO- 1,869",M&I 6522-410-002- Replace furnace.," Replaced the furnace with a new complete with plenum, boiler, oil line, thermostat, etc."
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO- 2,316",No DHW.  Had to reset burner and purge air from lines and clear lint out of air intake.,
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO- 2,798",No heat.," No heat, got it going again."
"029  -029 - 451, Detached, Built 1967, Rehab 1982","WO- 2,960",Furnace can't go on.,
"030  -030 - 451, Detached, Built 1967, Rehab 1983","WO- 1,749","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel tank, drained the drip leg and reinstalled the drip leg back on the fuel tank."
"031  -031 - 451, Detached, Built 1967, Burnt 1997","WO- 1,488",Oil tank M&I Profec t# 6522-410-003,
"031  -031 - 451, Detached, Built 1967, Burnt 1997","WO- 1,712","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drained the same  Re-installed the drip leg
"033  -033 - 451, Detached, Built 1967, Rehab 1982","WO- 1,750","Drain drip leg, replace parts if necessary","  Removed the drip leg from the fuel tank, drained the drip leg and reinstalled the drip leg back on the fuel tank."
"034  -034 - 455, Detached, Built 1968, Rehab 1982","WO- 1,718","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed the drip leg on the fuel tank
"034  -034 - 455, Detached, Built 1968, Rehab 1982","WO- 2,938",Thermostat came off.," Circle thermostat not holding screws, replaced with spare thermostat and tested."
"035  -035 - 455, Detached, Built 1968, Rehab 1982","WO- 1,720","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the same  Re-installed the drip leg on the fuel tank
"036  -036 - 455, Detached, Built 1968, Rehab 1982",WO- 607,Furnace can't go on.  Water damaged the motor from the rain through the chimney., Checked and replaced faulty control box and tested. (control box not from stock but from new burner)
"036  -036 - 455, Detached, Built 1968, Rehab 1982","WO- 1,724","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed the drip leg back on the fuel tank
"036  -036 - 455, Detached, Built 1968, Rehab 1982","WO- 2,334",Check furnace.," Checked furnace, working normally, replaced dirty air filter."
"037  -037 - 455, Detached, Built 1968, Rehab 1982","WO- 1,956",No heat in unit., Pressurized boiler to 15psi and checked for heat.
"038  -038 - 455, Detached, Built 1968, Rehab 1982","WO- 2,252",No heat," Checled furnace and was not much beat pushing through vents, replaced air filter that tenant bought himself."
"038  -038 - 455, Detached, Built 1968, Rehab 1982","WO- 2,270",Smoke coming out of furnace & smells like fuel," Changed furnace filter that t enant brought, couldn't figure out why smoke coming out of draft controls, sent to Jago."
"038  -038 - 455, Detached, Built 1968, Rehab 1982","WO- 2,280","Check furnace, when recirculation fan come on, aire goes to flue pipe instead of through the unit",Completed
"038  -038 - 455, Detached, Built 1968, Rehab 1982","WO- 2,347",Unit smell of furnace fumes., Checked with tenants and they said the smell went away.
"039  -039 - 455, Detached, Built 1972, Rehab 1983",WO- 501,No heat.,
"039  -039 - 455, Detached, Built 1972, Rehab 1983",WO- 508,Get boiler running.," Housing removed the burner and disassembled in their shop. had to find replacement burner, had to modfy mounting plate on boiler for new burner, made repairs ro chimney damper as well, replaced nozzle and oil filter cartridge."
"039  -039 - 455, Detached, Built 1972, Rehab 1983",WO- 925,Glycol leaking from boiler.," Checked to see where leak was and was leaking on the union, union was loose so tightened and tested for leaks."
"039  -039 - 455, Detached, Built 1972, Rehab 1983","WO- 1,497",Boiler replacement M&I #6522-410-001, Installed new well mclean boiler with all new piping and electrical controls.
"039  -039 - 455, Detached, Built 1972, Rehab 1983","WO- 1,701","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank. -Drained the ice and water from the drip leg  Re-installed the same
"040  -040 - 455, Detached, Built 1972, Rehab 1983","WO- 1,699","Drain drip leg, replace parts if necessary", Remove the drip leg from the fuel tank. -Drained ice & water. Re-installed drip leg
"041  -041 - 455, Detached, Built 1972, Rehab 1983","WO- 1,697","Drain drip leg, replace parts if necessary", Removed and drain the drip leg on the fuel tank.  -Reinstalled the same
"042  -042 - 455, Detached, Built 1972, Rehab 1983",WO- 124,Boiler burnt out., Cleaned and service boiler.
"042  -042 - 455, Detached, Built 1972, Rehab 1983","WO- 1,374","Remove boiler, hot water maker, water pump and piping and replace with new.", Demo boiler room now waiting cbha carpenters to repair boiler room  flooring then can return to finish job.
"042  -042 - 455, Detached, Built 1972, Rehab 1983","WO- 1,695","Drain drip leg, replace parts if necessary", Removed the drip leg & drained ice and re-installed the same
"042  -042 - 455, Detached, Built 1972, Rehab 1983","WO- 2,096",New boiler," Hooked up F-5 oil burner on new boiler as well as new oil filter and oil line, made up new smokepipe including draft regulater, base tee and cleanout cap, cut draft reulator into new smokepipe, installed blacked vent swithc on smokepipe."
"042  -042 - 455, Detached, Built 1972, Rehab 1983","WO- 2,689",3/4 Honeywell mixing valve, Completed
"042  -042 - 455, Detached, Built 1972, Rehab 1983","WO- 2,864",No heat.," Switch for zone valve was bent a little and was stuck on close, manuallt opened switch and made a bit straighter, tested with thermostat."
"042  -042 - 455, Detached, Built 1972, Rehab 1983","WO- 2,892",No heat in unit., Replaced zone valve.
"043  -043 - Weber, Detached, Built 1975, Retro 1989","WO- 1,704","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank -Drained the drip leg  Re-installed the drip leg on the fuel tank
"089  -089 - 455, Detached, Built 1972, Rehab 1981","WO- 1,719","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed the drip leg on the fuel tank
"044  -044 - Weber, Detached, Built 1975, Retro 1993","WO- 1,705","Drain drip leg, replace parts if necessary", Remove the drip lef from the fuel tank -Drained the drip leg  Re-installed the drip leg
"044  -044 - Weber, Detached, Built 1975, Retro 1993","WO- 1,894",Clean furnace.," Checked furnace, this furnace is slated to be replaced in the spring of 2022, checked water heater, replaced the nozzle in both the furnace and water heater, replaced  cracked fan belt, replaced 2 15x29 air filters, replaced the oil filter cartridge."
"045  -045 - Weber, Detached, Built 1975, Retro 1991","WO- 1,706","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank -Drained the drip leg  Re-installed the same
"046  -046 - Weber, Detached, Built 1975, Retro 1991","WO- 1,702","Drain drip leg, replace parts if necessary", Remove the drip leg from the fuel tank -Drained the same  Re-installed the drip leg
"047  -047 - Weber, Detached, Built 1975, Retro 1990","WO- 1,700","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank -Drained the ice and water.  Re-installed the drip leg
"048  -048 - Weber, Detached, Built 1975, Retro 1989","WO- 1,698","Drain drip leg, replace parts if necessary", Removed the drip leg on the fuel tank. -Drained the same   Re-installed
"048  -048 - Weber, Detached, Built 1975, Retro 1989","WO- 1,780",Noisy furnace., Check and tighten loose bolts on fan assy & tested
"048  -048 - Weber, Detached, Built 1975, Retro 1989","WO- 2,182",Strong fuel smell," Tenant called about fumes from furnace, back fire causing smoke to fill mechanical room, reset and now working good, also put cover place back on."
"049  -049 - Weber, Detached, Built 1975, Retro 1989","WO- 1,696","Drain drip leg, replace parts if necessary", Removed the drip leg on the fuel tank and drained ice.  -Re-installed drip leg
"050  -050 - Weber, Detached, Built 1975, Retro 1989","WO- 1,694","Drain drip leg, replace parts if necessary"," Removed drip leg on oil tank,  drained the same and re-installed"
"050  -050 - Weber, Detached, Built 1975, Retro 1989","WO- 2,720","Check furnace, smell of fuel coming out."," Checked furnace and fuel lines, no leakage, replaced plugged air filter."
"051  -051 - Weber, Detached, Built 1975, Retro 1990","WO- 1,717","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed the drip leg on the fuel tank
"053  -053 - Weber, Detached, Built 1975, Retro 1999",WO- 767,Furnace not working.," Furnace working normally, replaced plugged air filter."
"053  -053 - Weber, Detached, Built 1975, Retro 1999",WO- 854,"Strong fuel smell in unit, please check.", given to Dean
"053  -053 - Weber, Detached, Built 1975, Retro 1999",WO- 868,Fuel leak.,Tightened all nuts.
"053  -053 - Weber, Detached, Built 1975, Retro 1999",WO- 872,Service furnace and hot water maker.," Furnacae and oil fired hot water maker full of soot, cleaned both units, changed burner on furnace with new riello parts supplied by CBHA, cleaned floor after bob, too much soot around."
"053  -053 - Weber, Detached, Built 1975, Retro 1999",WO- 883,Check fuel smell in unit," Checked furnace, Inukshuk was there the other day, w/o sent to them."
"053  -053 - Weber, Detached, Built 1975, Retro 1999","WO- 1,715","Drain drip leg, replace parts if necessary", Removed drip leg from the fuel tank and drained the drip leg  Re-installed the drip leg on the fuel tank
"053  -053 - Weber, Detached, Built 1975, Retro 1999","WO- 2,402",Would like furnace filter changed., Replaced furnace filter.
"054  -054 - Weber, Detached, Built 1975, Retro 1991","WO- 1,524",Strong smell of fuel fumes.," Tightened all fittings around filter for fuel and cleaned up oil spill in drip pan, applied odorgon."
"054  -054 - Weber, Detached, Built 1975, Retro 1991","WO- 1,625",Fuel leak in furnace room., Replaced faulty oil filter.
"054  -054 - Weber, Detached, Built 1975, Retro 1991","WO- 1,722","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed the drip leg back on the fuel tank
"055  -055 - Weber, Detached, Built 1976, Retro 1993","WO- 1,489",Oil tank M&I Profec t# 6522-410-003,
"055  -055 - Weber, Detached, Built 1976, Retro 1993","WO- 1,604",Furnace really loud.,
"055  -055 - Weber, Detached, Built 1976, Retro 1993","WO- 1,736","Drain drip leg, replace parts if necessary", Removed the dripleg from the fuel storage tank and drain the drip leg  Re-installed the drip leg
"055  -055 - Weber, Detached, Built 1976, Retro 1993","WO- 1,756",Fire extinguisher PM// Review all items in the attached checklist and report.," Picked up heater at Jago and disposed of the old leaky heater and installed the new one, we replaced badly bent fuel line as well as re-wired the aquastat to the new heater and oil burner."
"056  -056 - Weber, Detached, Built 1976, Retro 1999",WO- 87,Unit smell of fuel.," Checked for fuel leak, there were no leaks."
"056  -056 - Weber, Detached, Built 1976, Retro 1999",WO- 304,Fuel smell., Checked and replaced faulty pump on hot water maker and tested.
"058  -058 - Weber, Detached, Built 1976, Retro 1989",WO- 730,Fuel smell in furnace/Laundry room,".Checked fuel lines and the filter was leaking, want to the shop and grabbed odorgon and went back to unit, cleaned leak and tightened fuel filter, put down odorgan and cleaned mess."
"058  -058 - Weber, Detached, Built 1976, Retro 1989","WO- 1,725","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed the drip leg back on the fuel tank
"058  -058 - Weber, Detached, Built 1976, Retro 1989","WO- 2,208",Furnace room smells of fumes., Checked and tightened fittings around fuel lines and cleaned up work area.
"058  -058 - Weber, Detached, Built 1976, Retro 1989","WO- 2,213",No heat.," Checked furnance,  replaced faulty fuel pump and tested"
"059  -059 - Weber, Detached, Built 1976, Retro 1989","WO- 1,728","Drain drip leg, replace parts if necessary", Removed and drain the drip lef on the fuel tank  Re-installed the drip leg
"059  -059 - Weber, Detached, Built 1976, Retro 1989","WO- 2,903",Thermostat hanging off the wall.  Needs to be replaced/repaired.," Went to unit and checked on thermostat, it wasn't working properly, I went to the shop to get a new thermostat, installed and tested."
"059  -059 - Weber, Detached, Built 1976, Retro 1989","WO- 2,945","Check thermostat, tenant says not working properly, no heat in unit."," Wrong thermostat was installed, installed right thermostat."
"088  -088 - 455, Detached, Built 1972, Rehab 1981","WO- 2,593",Change air filter., Changed air filter.
"060  -060 - Weber, Detached, Built 1976, Retro 1989","WO- 1,730","Drain drip leg, replace parts if necessary", Removed and drain the drip leg from the fuel tank  Re-installed the drip leg on the fuel tank
"060  -060 - Weber, Detached, Built 1976, Retro 1989","WO- 2,786",Says unit smells of furnace fumes.," Removed a napsack that was laying on furnace smokepipe (ready to ignite), tighted fittins, checked for oil leak (none), all seems ok to me, told the tenant to keep area clean and free of clothing, boxes etc."
"061  -061 - Weber, Detached, Built 1976, Retro 1989",WO- 970,Replace the furnace filter.,
"061  -061 - Weber, Detached, Built 1976, Retro 1989","WO- 1,732","Drain drip leg, replace parts if necessary", Removed and drain the drip lef from the oil tank  Re-installed the drip leg
"063  -063 - Weber, Detached, Built 1976, Retro 1999","WO- 1,729","Drain drip leg, replace parts if necessary", Remove and drain the drip leg from the fuel tank  Re-installed the drip leg on the fuel tank
"064  -064 - Weber, Detached, Built 1976","WO- 1,731","Drain drip leg, replace parts if necessary", Removed and drain the drip leg from the fuel tank  Re-installed the drip leg on the fuel tank
"066  -066 - Weber, Detached, Built 1977, Retro 1992","WO- 1,734","Drain drip leg, replace parts if necessary", Removed and drain the drip lef from the fuel tank  Re-installed the same
"067  -067 - Weber, Detached, Built 1977, Retro 1992","WO- 1,727","Drain drip leg, replace parts if necessary", Removed the drip lef from the fuel tank and drain the dripleg  Re-installed the drip leg back on the fuel tank
"068  -068 - Weber, Detached, Built 1977","WO- 1,481",Change water heater.," HWM had a leak, had to remove water tank to switch HWM, replaced hwm and put tank back together. John Wood oil fired hwm from Inukshuk."
"068  -068 - Weber, Detached, Built 1977","WO- 1,726","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed drip leg back on the fuel tank
"071  -071 - Weber, Detached, Built 1977, Retro 1992","WO- 1,693","Drain drip leg, replace parts if necessary", Check drip leg for ice.  Drained the oil tank drip leg
"073  -073 - Weber, Detached, Built 1977, Retro 1992","WO- 1,449","Replace pulley on fan, fan belt shaft and bearings.", Removed old fan bearing and shaft and pulley on worn out vent and repaired.
"074  -074 - Weber, Detached, Built 1977, Retro 1992",WO- 899,No heat.,".Had to put in temperture heater, also had to trouble shoot furnace, had to replace circuit board and thermostat."
"074  -074 - Weber, Detached, Built 1977, Retro 1992","WO- 2,209",Furnace out.," Checked furnance, reset control box and waited for full cycle."
"075  -075 - Weber, Detached, Built 1978, Retro 1988",WO- 26,Furnace can't go on., Checked and replaced faulty primary control box and tested.
"075  -075 - Weber, Detached, Built 1978, Retro 1988","WO- 1,420",Fix furnace," Replaced burner control, cbha supplied part."
"075  -075 - Weber, Detached, Built 1978, Retro 1988","WO- 1,632",Change furnace filter.,
"075  -075 - Weber, Detached, Built 1978, Retro 1988","WO- 2,997","Would like to change a furnace filter on furnace, given to tenant, will install himself.", Tenant came by for a filter
"078  -078 - Weber, Detached, Built 1978, Retro 1988","WO- 1,373",Furnace room smells of furnace fumes.,
"082  -082 - Weber, Detached, Built 1978, Retro 1992",WO- 100,No heat., Reset furnace.
"086  -086 - Weber, Detached, Built 1978, Retro 1991","WO- 1,962",Strong fuel smell in unit., Tightened all fittings on fuel line and checked around.
"087  -087 - 455, Detached, Built 1972, Rehab 1992","WO- 1,774",No heat.," Went to unit after hours, furnace would not restart, had to check fuel valv which was closed, bled burner and was back in good working order."
"090  -090 - 455, Detached, Built 1972, Rehab 1981","WO- 1,721","Drain drip leg, replace parts if necessary", Removed the drip leg from the fuel tank and drain the drip leg  Re-installed the drip leg back on the fuel tank
"091  -091 - 455, Detached, Built 1972, Retro 1981",WO- 554,Furnace makes a funny noise when turned on., Changed coupler on fuel tank.
"091  -091 - 455, Detached, Built 1972, Retro 1981",WO- 589,No heat., Furnace would not start due to worn out coupling.  Replaced it and is in good working order.
"091  -091 - 455, Detached, Built 1972, Retro 1981","WO- 1,723","Drain drip leg, replace parts if necessary", Removed the drip lef from the fuel tank and drained the drip leg  Re-installed the drip leg back on the fuel tank
"092  -092 - 455, Detached, Built 1972, Rehab 1981","WO- 2,707","Furnace can't go on, says they've been trying to put on, won't go on", Replaced a fuel pump as well as a cut a size coupling.
"097  -097 - 455, Detached, Built 1972, M&I 1997","WO- 1,444",Tenant says air filter in furnace getting stuck., Replaced dirty air filter.
"097  -097 - 455, Detached, Built 1972, M&I 1997","WO- 2,857","Check furnace, tenant says the furnace is making weird sound.", Replaced 2 16x25 air filters.
"099  -099 - 455, Detached, Built 1972","WO- 1,490",Oil tank M&I Profec t# 6522-410-003,
"101  -Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 913,No heat.," Checked boiler, loosen sticky motor on zone and tested."
"102  -102 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 408,No heat., Add glycol to boiler.
282-M  -2 Kingmik Street,"WO- 1,670","Drain drip leg, replace parts if necessary", Removed and drained the drip leg on the fuel supply tank.  Re-installed the drip leg on the tank
281-M  -4 Kingmik Street,WO- 207,No heat in building.," Had to get electrician in to solve and repair electrical problem on boiler 2, had to replace leaking gauge on boiler and replace relieve valve also installed pet cock and new aut vent, had to repair crack on sewer tank, also had to install new shower water and overflow and new shower heat, tested float as well."
281-M  -4 Kingmik Street,"WO- 1,671","Drain drip leg, replace parts if necessary", Removed and drain the drip leg from the fuel supply tank.  Re-installed the drip leg on the fuel tank
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 1,402",No heat.," Checked mechanical room and boiler was good, pressure was good, but nothing pushing through, manually spun zone valve and waited for heat to push through, opened by-pass valve and started pushing through, close by-pass and checked units heat was started to push through."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 1,404",No heat., Pressurized boilet to 20psi and checked for heat.
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 1,434",No heat in unit.,
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 1,589",No heat in unit.," Replaced thermostat purshased from Jago, zone valve not responding to thermostat, left wires off zone valve so tenant can have house heat overnight."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,986",No heat in unit.,"Checked heating, released air from vents and tested"
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,989",No heat., Loosen sticky motor on zone valve and tested.
"107  -107 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 136,"Too hot in unit, thermostat not working."," Reconnected wires in mechanical room, thermostat wire to zone valve."
"107  -107 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 205,No heat., Checked and loosec sticky motor on zone and tested.
"107  -107 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 295,No heat.," Zone valve was stuck, opened normally."
"107  -107 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 1,782",No heat., Loosen sticky motor on zone and tested
"108  -108 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 1,408",No heat., Bled all vents in mechanical room and checked for heat.
"108  -108 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 1,422",Change zone valve.," Inquire out problem with system, replaced zone valve not opening on a call for heat, only partially opening, checked operation of thermostat, all ok."
"112  -112 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 89,Service furnace., Did semi-annual PM on furnace and oil fired water heater.
"112  -112 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 394,PM hot water and furnace., Completed
"115  -115 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 404,Furnace can't go on.,
"115  -115 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 2,711","No heat in unit,"," Burner motor was seized, I replaced the motor, when I remove the burner to replace the motor the gaskett on the burner broke in pieces so I replaced it."
"116  -116 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 1,491",Oil tank M&I Profec t# 6522-410-003,
"118  -118 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 1,492",Oil tank M&I Profec t# 6522-410-003,
"121  -121 - Woolfenden, Detached, Built 1979","WO- 1,595",No heat.," Checked fuel tank first, was full, went into unit and pressed reset button on burner, burner went on, tested with thermostat to see if shut off and go back on, was working good after testing."
"121  -121 - Woolfenden, Detached, Built 1979","WO- 1,624",Heating won't go on.,
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996",WO- 665,Furnace is smelling like fuel., Checked and replaced diry nozzle and tested.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996",WO- 703,Furnace won't go on.," Checked furnace room and tenant had shut off furnace night before because of black smoke, checked piping for foot and was clean, took off the nozzle and was no good, went to shop to replace, put back together and tested furnace, no issues after changing nozzle."
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996",WO- 946,No heat.,
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 1,515",No heat.,"Checked fuel tank and was full, checked furnace and was on reset, pushed reset button and furnace kicked in, waited till the furnace shut off and tested thermostat to see if ok, will need to to check issues."
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 1,529",Furnace not going on again., We replaced the oil burner with a F5 Riello because w didn't have parts in stock to repair the old unit.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 1,639",1A and 1B Omingmak- Maintance on drip legs., Removed the drip legs from the fuel tanks and drained both drip legs.  Re-installed both drip legs on 2 seperate tanks.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 1,896",No heat.," Checked furnace, fan not coming on soon enough, adjusted fan/limit and tested."
"124  -124 - Woolfenden, Detached, Built 1979, M&I 1996","WO- 1,493",Oil tank M&I Profec t# 6522-410-003,
"124  -124 - Woolfenden, Detached, Built 1979, M&I 1996","WO- 1,738","Drain drip leg, replace parts if necessary", Removed and drain the drip leg from the fuel tank  Re-installed the drip leg
"125  -125 - Woolfenden, Detached, Re-built 1981,","WO- 1,708","Drain drip leg, replace parts if necessary", Removed the drip lef from the fuel tank and drained the same  Re-installed the drip leg
"126  -126 - Woolfenden, Detached, Re-built 1981,","WO- 1,707","Drain drip leg, replace parts if necessary", Removed and drained the fuel tank drip leg  Re-installed the same
"129  -129 - 7 Plex, Built 1983","WO- 1,500",No heat and hot water.," Unit had not heat, replaced with new zone valve and replaced radiator, plumbing water pipes were froze and split apart, replaced copper water lines with plastic pex pipe."
"129  -129 - 7 Plex, Built 1983","WO- 2,207",No heat in unit.," Heat going through, not enough finnage in unit, cold out, alwass this problem."
"129  -129 - 7 Plex, Built 1983","WO- 2,360","Check exterior door, keeps freezing, always cold in unit."," Removed ice from door, checked heating lines and they were hot, always see tenant smoking out door with door wide open."
"129  -129 - 7 Plex, Built 1983","WO- 2,665",No heat.,Released air lock from boiler.
"130  -130 - 7 Plex, Built 1983","WO- 1,440","Heat is too hot, thermostat not working.",
"130  -130 - 7 Plex, Built 1983","WO- 2,965","Loud noise coming from boiler room,",
"131  -131 - 7 Plex, Built 1983",WO- 575,"Service HRV, ensure proper operation.", emailed
"131  -131 - 7 Plex, Built 1983","WO- 2,468","Check thermostat, tenant says it's cold in unit.", Air locked.
